281990.5436088,4773739.9070905
281990.8488932,4773745.5037876
281991.5820914,4773750.2577120
281991.8219088,4773754.3023622
281991.5820583,4773758.0924870
281991.4299149,4773762.1663537
281991.0020800,4773767.4315736
281990.7506697,4773771.2758961
281990.6231627,4773776.3471012
281987.6809502,4773779.8755772
281983.9903027,4773780.9323789
281980.4960520,4773780.4734649
281976.8176449,4773778.7721462
281974.8429406,4773776.4176702
281974.8706561,4773772.5872540
281975.7662963,4773769.2016169
281976.4828792,4773765.2055895
281976.5717444,4773761.3418145
281976.4994780,4773757.5305539
281976.3422224,4773753.6093120
281976.1849462,4773749.8062119
281975.4700948,4773744.7594139
281973.8188445,4773741.9344791
281973.4019052,4773738.7945591
281973.9677630,4773735.4280369
281975.8256659,4773732.0703984
281979.6497679,4773731.1333539
281984.1017325,4773731.3558935
281987.6283745,4773733.2037271
281990.0392350,4773736.8704988
281990.5436088,4773739.9070905
